Title,Author,Link,Bookshelf,readlink,imglink
"The Mirror of Literature, Amusement, and Instruction. Volume 10, No. 271,",,http://www.gutenberg.org/ebooks/11401,,https://www.gutenberg.org/cache/epub/11401/pg11401-images.html,https://www.gutenberg.org/cache/epub/11401/pg11401.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 10, No. 270, August",,http://www.gutenberg.org/ebooks/11321,,https://www.gutenberg.org/cache/epub/11321/pg11321-images.html,https://www.gutenberg.org/cache/epub/11321/pg11321.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 14, No. 379, July",,http://www.gutenberg.org/ebooks/11233,,https://www.gutenberg.org/cache/epub/11233/pg11233-images.html,https://www.gutenberg.org/cache/epub/11233/pg11233.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 14, No. 396,",,http://www.gutenberg.org/ebooks/11459,,https://www.gutenberg.org/cache/epub/11459/pg11459-images.html,https://www.gutenberg.org/cache/epub/11459/pg11459.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 13, No. 369, May 9,",,http://www.gutenberg.org/ebooks/11343,,https://www.gutenberg.org/cache/epub/11343/pg11343-images.html,https://www.gutenberg.org/cache/epub/11343/pg11343.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 13, No. 353,",,http://www.gutenberg.org/ebooks/11390,,https://www.gutenberg.org/cache/epub/11390/pg11390-images.html,https://www.gutenberg.org/cache/epub/11390/pg11390.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 10, No. 290,",,http://www.gutenberg.org/ebooks/13587,,https://www.gutenberg.org/cache/epub/13587/pg13587-images.html,https://www.gutenberg.org/cache/epub/13587/pg13587.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 532,",,http://www.gutenberg.org/ebooks/11515,,https://www.gutenberg.org/cache/epub/11515/pg11515-images.html,https://www.gutenberg.org/cache/epub/11515/pg11515.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 12, No. 345,",,http://www.gutenberg.org/ebooks/10719,,https://www.gutenberg.org/cache/epub/10719/pg10719-images.html,https://www.gutenberg.org/cache/epub/10719/pg10719.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 12, No. 344",,http://www.gutenberg.org/ebooks/10730,,https://www.gutenberg.org/cache/epub/10730/pg10730-images.html,https://www.gutenberg.org/cache/epub/10730/pg10730.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 12, No. 339,",,http://www.gutenberg.org/ebooks/11312,,https://www.gutenberg.org/cache/epub/11312/pg11312-images.html,https://www.gutenberg.org/cache/epub/11312/pg11312.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 14, No. 401,",,http://www.gutenberg.org/ebooks/11447,,https://www.gutenberg.org/cache/epub/11447/pg11447-images.html,https://www.gutenberg.org/cache/epub/11447/pg11447.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 20, No. 576,",,http://www.gutenberg.org/ebooks/11932,,https://www.gutenberg.org/cache/epub/11932/pg11932-images.html,https://www.gutenberg.org/cache/epub/11932/pg11932.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 12, No. 337,",,http://www.gutenberg.org/ebooks/11336,,https://www.gutenberg.org/cache/epub/11336/pg11336-images.html,https://www.gutenberg.org/cache/epub/11336/pg11336.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 17, No. 493, June",,http://www.gutenberg.org/ebooks/14230,,https://www.gutenberg.org/cache/epub/14230/pg14230-images.html,https://www.gutenberg.org/cache/epub/14230/pg14230.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 17, No. 479, March",,http://www.gutenberg.org/ebooks/14022,,https://www.gutenberg.org/cache/epub/14022/pg14022-images.html,https://www.gutenberg.org/cache/epub/14022/pg14022.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 552, June",,http://www.gutenberg.org/ebooks/11616,,https://www.gutenberg.org/cache/epub/11616/pg11616-images.html,https://www.gutenberg.org/cache/epub/11616/pg11616.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 551, June",,http://www.gutenberg.org/ebooks/11613,,https://www.gutenberg.org/cache/epub/11613/pg11613-images.html,https://www.gutenberg.org/cache/epub/11613/pg11613.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 19, No. 546, May",,http://www.gutenberg.org/ebooks/11551,,https://www.gutenberg.org/cache/epub/11551/pg11551-images.html,https://www.gutenberg.org/cache/epub/11551/pg11551.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 13, No. 367, April",,http://www.gutenberg.org/ebooks/11742,,https://www.gutenberg.org/cache/epub/11742/pg11742-images.html,https://www.gutenberg.org/cache/epub/11742/pg11742.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 14, No. 402,",,http://www.gutenberg.org/ebooks/11457,,https://www.gutenberg.org/cache/epub/11457/pg11457-images.html,https://www.gutenberg.org/cache/epub/11457/pg11457.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 13, No. 359, March",,http://www.gutenberg.org/ebooks/11322,,https://www.gutenberg.org/cache/epub/11322/pg11322-images.html,https://www.gutenberg.org/cache/epub/11322/pg11322.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 13, No. 355,",,http://www.gutenberg.org/ebooks/10950,,https://www.gutenberg.org/cache/epub/10950/pg10950-images.html,https://www.gutenberg.org/cache/epub/10950/pg10950.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 14, No. 380, July",,http://www.gutenberg.org/ebooks/11516,,https://www.gutenberg.org/cache/epub/11516/pg11516-images.html,https://www.gutenberg.org/cache/epub/11516/pg11516.cover.medium.jpg
"The Mirror of Literature, Amusement, and Instruction. Volume 14, No. 395,",,http://www.gutenberg.org/ebooks/11222,,https://www.gutenberg.org/cache/epub/11222/pg11222-images.html,https://www.gutenberg.org/cache/epub/11222/pg11222.cover.medium.jpg
Advice to Young Musicians. Musikalische Haus- und Lebens-Regeln,Robert Schumann,http://www.gutenberg.org/ebooks/28219,,https://www.gutenberg.org/cache/epub/28219/pg28219-images.html,https://www.gutenberg.org/cache/epub/28219/pg28219.cover.medium.jpg
Famous Violinists of To-day and Yesterday,Henry Charles Lahee,http://www.gutenberg.org/ebooks/14884,,https://www.gutenberg.org/cache/epub/14884/pg14884-images.html,https://www.gutenberg.org/cache/epub/14884/pg14884.cover.medium.jpg
Great Singers on the Art of Singing,James Francis Cooke,http://www.gutenberg.org/ebooks/33358,,https://www.gutenberg.org/cache/epub/33358/pg33358-images.html,https://www.gutenberg.org/cache/epub/33358/pg33358.cover.medium.jpg
Charles Dickens and Music,James T. Lightwood,http://www.gutenberg.org/ebooks/16595,,https://www.gutenberg.org/cache/epub/16595/pg16595-images.html,https://www.gutenberg.org/cache/epub/16595/pg16595.cover.medium.jpg
The Psychology of Singing,David C. Taylor,http://www.gutenberg.org/ebooks/21957,,https://www.gutenberg.org/cache/epub/21957/pg21957-images.html,https://www.gutenberg.org/cache/epub/21957/pg21957.cover.medium.jpg
"Beethoven, a character study",George Alexander Fischer,http://www.gutenberg.org/ebooks/15141,,https://www.gutenberg.org/cache/epub/15141/pg15141-images.html,https://www.gutenberg.org/cache/epub/15141/pg15141.cover.medium.jpg
A Collection of Gospel Hymns in Ojibway and English,Anonymous,http://www.gutenberg.org/ebooks/33128,,https://www.gutenberg.org/cache/epub/33128/pg33128-images.html,https://www.gutenberg.org/cache/epub/33128/pg33128.cover.medium.jpg
On Conducting (Üeber Das Dirigiren) : A Treatise on Style in the Execution of,,http://www.gutenberg.org/ebooks/4523,,https://www.gutenberg.org/cache/epub/4523/pg4523-images.html,https://www.gutenberg.org/cache/epub/4523/pg4523.cover.medium.jpg
Chopin and Other Musical Essays,Henry T. Finck,http://www.gutenberg.org/ebooks/18560,,https://www.gutenberg.org/cache/epub/18560/pg18560-images.html,https://www.gutenberg.org/cache/epub/18560/pg18560.cover.medium.jpg
Letters of Franz Liszt -- Volume 2,Franz Liszt,http://www.gutenberg.org/ebooks/3750,,https://www.gutenberg.org/cache/epub/3750/pg3750-images.html,https://www.gutenberg.org/cache/epub/3750/pg3750.cover.medium.jpg
Story-Lives of Great Musicians,Francis Jameson Rowbotham,http://www.gutenberg.org/ebooks/19748,,https://www.gutenberg.org/cache/epub/19748/pg19748-images.html,https://www.gutenberg.org/cache/epub/19748/pg19748.cover.medium.jpg
How the Piano Came to Be,Ellye Howell Glover,http://www.gutenberg.org/ebooks/29280,,https://www.gutenberg.org/cache/epub/29280/pg29280-images.html,https://www.gutenberg.org/cache/epub/29280/pg29280.cover.medium.jpg
Sixty Years of California Song,Margaret Blake Alverson,http://www.gutenberg.org/ebooks/19528,,https://www.gutenberg.org/cache/epub/19528/pg19528-images.html,https://www.gutenberg.org/cache/epub/19528/pg19528.cover.medium.jpg
The Pianoforte Sonata,J. S. Shedlock,http://www.gutenberg.org/ebooks/17074,,https://www.gutenberg.org/cache/epub/17074/pg17074-images.html,https://www.gutenberg.org/cache/epub/17074/pg17074.cover.medium.jpg
The Orchestral Conductor: Theory of His Art,Hector Berlioz,http://www.gutenberg.org/ebooks/27646,,https://www.gutenberg.org/cache/epub/27646/pg27646-images.html,https://www.gutenberg.org/cache/epub/27646/pg27646.cover.medium.jpg
The Head Voice and Other Problems: Practical Talks on Singing,D. A. Clippinger,http://www.gutenberg.org/ebooks/19493,,https://www.gutenberg.org/cache/epub/19493/pg19493-images.html,https://www.gutenberg.org/cache/epub/19493/pg19493.cover.medium.jpg
"The Standard Oratorios: Their Stories, Their Music, And Their Composers",Upton,http://www.gutenberg.org/ebooks/22793,,https://www.gutenberg.org/cache/epub/22793/pg22793-images.html,https://www.gutenberg.org/cache/epub/22793/pg22793.cover.medium.jpg
"Symphonies and Their Meaning; Third Series, Modern Symphonies",Philip H. Goepp,http://www.gutenberg.org/ebooks/12903,,https://www.gutenberg.org/cache/epub/12903/pg12903-images.html,https://www.gutenberg.org/cache/epub/12903/pg12903.cover.medium.jpg
